rel_path,label,source,patient_id,site
data/raw/dataset/benign/1.jpg,benign,dataset,,
data/raw/dataset/benign/10.jpg,benign,dataset,,
data/raw/dataset/benign/100.jpg,benign,dataset,,
data/raw/dataset/benign/101.jpg,benign,dataset,,
data/raw/dataset/benign/102.jpg,benign,dataset,,
data/raw/dataset/benign/103.jpg,benign,dataset,,
data/raw/dataset/benign/104.jpg,benign,dataset,,
data/raw/dataset/benign/105.jpg,benign,dataset,,
data/raw/dataset/benign/106.jpg,benign,dataset,,
data/raw/dataset/benign/107.jpg,benign,dataset,,
data/raw/dataset/benign/108.jpg,benign,dataset,,
data/raw/dataset/benign/109.jpg,benign,dataset,,
data/raw/dataset/benign/11.jpg,benign,dataset,,
data/raw/dataset/benign/110.jpg,benign,dataset,,
data/raw/dataset/benign/111.jpg,benign,dataset,,
data/raw/dataset/benign/112.jpg,benign,dataset,,
data/raw/dataset/benign/113.jpg,benign,dataset,,
data/raw/dataset/benign/114.jpg,benign,dataset,,
data/raw/dataset/benign/115.jpg,benign,dataset,,
data/raw/dataset/benign/116.jpg,benign,dataset,,
data/raw/dataset/benign/117.jpg,benign,dataset,,
data/raw/dataset/benign/118.jpg,benign,dataset,,
data/raw/dataset/benign/119.jpg,benign,dataset,,
data/raw/dataset/benign/12.jpg,benign,dataset,,
data/raw/dataset/benign/120.jpg,benign,dataset,,
data/raw/dataset/benign/121.jpg,benign,dataset,,
data/raw/dataset/benign/122.jpg,benign,dataset,,
data/raw/dataset/benign/123.jpg,benign,dataset,,
data/raw/dataset/benign/124.jpg,benign,dataset,,
data/raw/dataset/benign/125.jpg,benign,dataset,,
data/raw/dataset/benign/126.jpg,benign,dataset,,
data/raw/dataset/benign/127.jpg,benign,dataset,,
data/raw/dataset/benign/128.jpg,benign,dataset,,
data/raw/dataset/benign/129.jpg,benign,dataset,,
data/raw/dataset/benign/13.jpg,benign,dataset,,
data/raw/dataset/benign/130.jpg,benign,dataset,,
data/raw/dataset/benign/131.jpg,benign,dataset,,
data/raw/dataset/benign/132.jpg,benign,dataset,,
data/raw/dataset/benign/133.jpg,benign,dataset,,
data/raw/dataset/benign/134.jpg,benign,dataset,,
data/raw/dataset/benign/135.jpg,benign,dataset,,
